Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId,data.repository.primaryLanguage
bootstrap-styled/v4,BW-WeddingPlannerPortfolio/Front-End,243862784,https://github.com/BW-WeddingPlannerPortfolio/Front-End,Front-End,BW-WeddingPlannerPortfolio,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",1,False,,,0,[],MIT,
bootstrap-styled/v4,team-durumi/durumi-react,232270715,https://github.com/team-durumi/durumi-react,durumi-react,team-durumi,0,3,[],SCSS,"[{'name': 'SCSS'}, {'name': 'CSS'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'Vue'}]",0,False,,,0,[],,
bootstrap-styled/v4,murphym757/react-template,153019455,https://github.com/murphym757/react-template,react-template,murphym757,0,0,[],,[],0,False,,,0,[],,
bootstrap-styled/v4,akann/pay4later-akan,241354579,https://github.com/akann/pay4later-akan,pay4later-akan,akann,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,murphym757/mm_portfolio,156630458,https://github.com/murphym757/mm_portfolio,mm_portfolio,murphym757,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,james-gc/kabra-frontend,239829010,https://github.com/james-gc/kabra-frontend,kabra-frontend,james-gc,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,KrunchMuffin/prontoforms,238827430,https://github.com/KrunchMuffin/prontoforms,prontoforms,KrunchMuffin,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,mozo-works/gswebplay,98861853,https://github.com/mozo-works/gswebplay,gswebplay,mozo-works,0,1,[],CSS,"[{'name': 'CSS'}, {'name': 'PHP'}, {'name': 'JavaScript'}, {'name': 'Twig'}, {'name': 'Shell'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,Use-My-Tech-Stuff-2/front-end,237518953,https://github.com/Use-My-Tech-Stuff-2/front-end,front-end,Use-My-Tech-Stuff-2,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",2,False,,,0,[],MIT,
bootstrap-styled/v4,jtrishmawi/20ieme-commune-stats,236256087,https://github.com/jtrishmawi/20ieme-commune-stats,20ieme-commune-stats,jtrishmawi,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,GrafiteInc/Scaffold,197418670,https://github.com/GrafiteInc/Scaffold,Scaffold,GrafiteInc,9,1,[],PHP,"[{'name': 'PHP'}, {'name': 'Blade'}, {'name': 'Vue'}, {'name': 'Shell'}]",2,False,,,0,[],MIT,
bootstrap-styled/v4,frasmarco/sco-site,234966885,https://github.com/frasmarco/sco-site,sco-site,frasmarco,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,seendsouza/typecast,233282523,https://github.com/seendsouza/typecast,typecast,seendsouza,0,1,[],CSS,"[{'name': 'CSS'}, {'name': 'JavaScript'}, {'name': 'Jupyter Notebook'}, {'name': 'Python'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,esalle34/Diadao,233225852,https://github.com/esalle34/Diadao,Diadao,esalle34,0,1,[],HTML,"[{'name': 'HTML'}, {'name': 'CSS'}, {'name': 'JavaScript'}]",0,False,,,0,[],,
bootstrap-styled/v4,rogeriorioli/gatsby_designhope,233163696,https://github.com/rogeriorioli/gatsby_designhope,gatsby_designhope,rogeriorioli,0,1,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],MIT,
bootstrap-styled/v4,manjurulhoque/carrott-landing-page-next-js,232355139,https://github.com/manjurulhoque/carrott-landing-page-next-js,carrott-landing-page-next-js,manjurulhoque,0,1,[],CSS,"[{'name': 'CSS'}, {'name': 'JavaScript'}]",0,False,,,0,[],,
bootstrap-styled/v4,reginaldoMorais/r3-ts-cli,209137359,https://github.com/reginaldoMorais/r3-ts-cli,r3-ts-cli,reginaldoMorais,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'Dockerfile'}]",0,False,,,0,[],,
bootstrap-styled/v4,meerajahmed/react-starter-kit,223184677,https://github.com/meerajahmed/react-starter-kit,react-starter-kit,meerajahmed,0,2,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,esalle34/MovieFinder,224616926,https://github.com/esalle34/MovieFinder,MovieFinder,esalle34,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,Cashmaney/enigma-worker-test,224743561,https://github.com/Cashmaney/enigma-worker-test,enigma-worker-test,Cashmaney,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,nikosantis/oqo-cowork-react,224733908,https://github.com/nikosantis/oqo-cowork-react,oqo-cowork-react,nikosantis,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
